t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.660500,218.793353,-0.017850,0.192976,0.024720,0.000000,0.000000,0.000000,0.000374
1.661000,218.791745,-0.017925,0.192966,0.024719,0.000000,0.000000,0.000000,0.000399
1.661500,218.790417,-0.018000,0.192926,0.024719,0.000000,0.000000,0.000000,0.000389
1.662000,218.791681,-0.018075,0.192834,0.024718,0.000000,0.000000,0.000000,0.000351
1.662500,218.789916,-0.018150,0.192824,0.024718,0.000000,0.000000,0.000000,0.000381
1.663000,218.788450,-0.018225,0.192787,0.024718,0.000000,0.000000,0.000000,0.000380
1.663500,218.789588,-0.018300,0.192708,0.024717,0.000000,0.000000,0.000000,0.000331
1.664000,218.787754,-0.018375,0.192690,0.024718,0.000000,0.000000,0.000000,0.000345
1.664500,218.786201,-0.018450,0.192660,0.024717,0.000000,0.000000,0.000000,0.000329
1.665000,218.787220,-0.018525,0.192594,0.024717,0.000000,0.000000,0.000000,0.000293
1.665500,218.785287,-0.018600,0.192586,0.024718,0.000000,0.000000,0.000000,0.000315
1.666000,218.783638,-0.018675,0.192565,0.024716,0.000000,0.000000,0.000000,0.000307
1.666500,218.784551,-0.018750,0.192524,0.024715,0.000000,0.000000,0.000000,0.000275
1.667000,218.782547,-0.018825,0.192511,0.024714,0.000000,0.000000,0.000000,0.000300
1.667500,218.782083,-0.018900,0.192480,0.024695,0.000000,0.000000,0.000000,0.000223
1.668000,218.781714,-0.018975,0.192469,0.024718,0.000000,0.000000,0.000000,0.000266
1.668500,218.779600,-0.019050,0.192478,0.024724,0.000000,0.000000,0.000000,0.000252
1.669000,218.780028,-0.019125,0.192480,0.024725,0.000000,0.000000,0.000000,0.000237
1.669500,218.777728,-0.019200,0.192506,0.024723,0.000000,0.000000,0.000000,0.000253
1.670000,218.778043,-0.019275,0.192531,0.024723,0.000000,0.000000,0.000000,0.000241
1.670500,218.775619,-0.019350,0.192577,0.024720,0.000000,0.000000,0.000000,0.000270
1.671000,218.775777,-0.019425,0.192636,0.024721,0.000000,0.000000,0.000000,0.000261
1.671500,218.773265,-0.019500,0.192707,0.024721,0.000000,0.000000,0.000000,0.000287
1.672000,218.773363,-0.019575,0.192788,0.024722,0.000000,0.000000,0.000000,0.000275
1.672500,218.771345,-0.019650,0.192878,0.024721,0.000000,0.000000,0.000000,0.000301
1.673000,218.772269,-0.019725,0.192991,0.024723,0.000000,0.000000,0.000000,0.000292
1.673500,218.770414,-0.019800,0.193067,0.024720,0.000000,0.000000,0.000000,0.000351
1.674000,218.771411,-0.019875,0.193205,0.024721,0.000000,0.000000,0.000000,0.000347
1.674500,218.769596,-0.019950,0.193307,0.024720,0.000000,0.000000,0.000000,0.000396
1.675000,218.770644,-0.020025,0.193464,0.024721,0.000000,0.000000,0.000000,0.000382
1.675500,218.768869,-0.020100,0.193573,0.024721,0.000000,0.000000,0.000000,0.000424
1.676000,218.769948,-0.020175,0.193746,0.024722,0.000000,0.000000,0.000000,0.000403
1.676500,218.768201,-0.020250,0.193861,0.024721,0.000000,0.000000,0.000000,0.000440
1.677000,218.766882,-0.020325,0.193974,0.024721,0.000000,0.000000,0.000000,0.000444
1.677500,218.768342,-0.020400,0.194178,0.024722,0.000000,0.000000,0.000000,0.000417
1.678000,218.766802,-0.020475,0.194305,0.024721,0.000000,0.000000,0.000000,0.000452
1.678500,218.768100,-0.020550,0.194515,0.024722,0.000000,0.000000,0.000000,0.000426
1.679000,218.766486,-0.020625,0.194640,0.024721,0.000000,0.000000,0.000000,0.000459
1.679500,218.765273,-0.020700,0.194763,0.024720,0.000000,0.000000,0.000000,0.000460
1.680000,218.766825,-0.020775,0.194996,0.024721,0.000000,0.000000,0.000000,0.000430
1.680500,218.765356,-0.020850,0.195126,0.024720,0.000000,0.000000,0.000000,0.000464
1.681000,218.764255,-0.020925,0.195254,0.024719,0.000000,0.000000,0.000000,0.000464
1.681500,218.765910,-0.021000,0.195501,0.024720,0.000000,0.000000,0.000000,0.000435
1.682000,218.764504,-0.021075,0.195631,0.024718,0.000000,0.000000,0.000000,0.000468
1.682500,218.763455,-0.021150,0.195758,0.024718,0.000000,0.000000,0.000000,0.000468
1.683000,218.765156,-0.021225,0.196014,0.024718,0.000000,0.000000,0.000000,0.000439
1.683500,218.763878,-0.021300,0.196076,0.024708,0.000000,0.000000,0.000000,0.000473
1.684000,218.763044,-0.021375,0.196084,0.024687,0.000000,0.000000,0.000000,0.000460
1.684500,218.765208,-0.021450,0.195894,0.024689,0.000000,0.000000,0.000000,0.000466
1.685000,218.764220,-0.021525,0.195896,0.024687,0.000000,0.000000,0.000000,0.000503
1.685500,218.763597,-0.021600,0.195891,0.024688,0.000000,0.000000,0.000000,0.000520
1.686000,218.763230,-0.021675,0.195883,0.024689,0.000000,0.000000,0.000000,0.000532
1.686500,218.764161,-0.021750,0.195814,0.024678,0.000000,0.000000,0.000000,0.000520
1.687000,218.765032,-0.021825,0.195754,0.024694,0.000000,0.000000,0.000000,0.000330
1.687500,218.764448,-0.021900,0.195771,0.024696,0.000000,0.000000,0.000000,0.000364
1.688000,218.764137,-0.021975,0.195801,0.024692,0.000000,0.000000,0.000000,0.000360
1.688500,218.763945,-0.022050,0.195812,0.024693,0.000000,0.000000,0.000000,0.000384
1.689000,218.763717,-0.022125,0.195843,0.024686,0.000000,0.000000,0.000000,0.000415
1.689500,218.763607,-0.022200,0.195862,0.024686,0.000000,0.000000,0.000000,0.000428
1.690000,218.763470,-0.022275,0.195876,0.024684,0.000000,0.000000,0.000000,0.000473
1.690500,218.763361,-0.022350,0.195888,0.024682,0.000000,0.000000,0.000000,0.000510
1.691000,218.763280,-0.022425,0.195898,0.024680,0.000000,0.000000,0.000000,0.000538
1.691500,218.763220,-0.022500,0.195905,0.024679,0.000000,0.000000,0.000000,0.000560
